"city","site","raccoon","coyote","rabbit","opossum","skunk","redfox","graysquirrel","foxsquirrel","J","site_code","year"
"chil","418-2-18",9,1,0,1,0,0,8,1,28,"chil-418-2",2018
"chil","419-2-18",20,5,1,1,0,0,2,0,29,"chil-419-2",2018
"chil","422-2-18",1,3,0,0,0,0,0,0,29,"chil-422-2",2018
"chil","423-2-18",7,0,6,2,0,0,21,7,29,"chil-423-2",2018
"chil","424-2-18",0,6,0,0,0,0,3,1,35,"chil-424-2",2018
"chil","427-2-18",1,0,0,0,0,0,4,0,36,"chil-427-2",2018
"chil","428-2-18",2,1,0,0,1,2,13,1,36,"chil-428-2",2018
"chil","429-2-18",9,0,1,2,0,0,21,0,29,"chil-429-2",2018
"chil","435-2-18",26,1,3,5,0,0,15,2,28,"chil-435-2",2018
"chil","436-2-18",8,14,0,0,3,0,2,1,28,"chil-436-2",2018
"chil","437-2-18",5,0,1,5,0,0,0,0,36,"chil-437-2",2018
"chil","438-2-18",12,0,3,0,2,0,10,0,36,"chil-438-2",2018
"chil","439-2-18",0,0,0,1,0,0,1,1,22,"chil-439-2",2018
"chil","440-2-18",19,10,0,1,6,0,14,7,36,"chil-440-2",2018
"chil","442-2-18",18,2,1,1,0,0,0,0,36,"chil-442-2",2018
"chil","443-2-18",7,0,0,1,0,0,1,0,22,"chil-443-2",2018
"chil","445-2-18",3,1,0,4,0,0,1,1,22,"chil-445-2",2018
"chil","446-2-18",7,0,0,1,1,0,7,1,28,"chil-446-2",2018
"chil","448-2-18",7,0,0,2,0,0,2,2,30,"chil-448-2",2018
"chil","453-2-18",28,10,0,6,0,0,14,0,29,"chil-453-2",2018
"chil","455-2-18",1,3,28,3,0,0,0,0,35,"chil-455-2",2018
"deco","1-2-17",1,0,0,0,0,0,0,26,29,"deco-1-2",2017
"deco","2-2-17",0,0,0,0,0,0,0,12,15,"deco-2-2",2017
"deco","3-2-17",0,0,0,0,0,0,0,19,29,"deco-3-2",2017
"deco","4-2-17",0,0,0,0,0,0,0,9,29,"deco-4-2",2017
"deco","5-2-17",0,0,0,0,0,0,0,7,29,"deco-5-2",2017
"deco","7-2-17",0,0,6,0,0,0,0,9,29,"deco-7-2",2017
"deco","8-2-17",0,0,5,0,0,0,0,27,29,"deco-8-2",2017
"deco","9-2-17",0,0,0,0,0,1,0,16,29,"deco-9-2",2017
"deco","10-2-17",0,0,0,0,0,0,0,4,29,"deco-10-2",2017
"deco","11-2-17",0,0,8,0,0,0,0,11,29,"deco-11-2",2017
"deco","12-2-17",0,1,0,0,0,1,0,13,29,"deco-12-2",2017
"deco","13-2-17",0,0,0,0,0,0,0,10,29,"deco-13-2",2017
"deco","14-2-17",17,2,1,0,0,0,0,20,30,"deco-14-2",2017
"deco","15-2-17",19,1,24,0,0,1,0,0,30,"deco-15-2",2017
"deco","16-2-17",3,0,0,0,0,0,0,0,30,"deco-16-2",2017
"deco","17-2-17",2,4,8,0,0,0,0,1,30,"deco-17-2",2017
"deco","18-2-17",17,0,10,0,0,0,0,1,30,"deco-18-2",2017
"deco","19-2-17",15,0,0,0,1,0,0,9,30,"deco-19-2",2017
"deco","20-2-17",0,0,0,0,0,0,0,1,30,"deco-20-2",2017
"deco","21-2-17",1,0,0,0,0,0,0,3,30,"deco-21-2",2017
"deco","22-2-17",1,0,0,0,0,1,0,23,29,"deco-22-2",2017
"deco","23-2-17",4,0,16,0,0,0,0,2,29,"deco-23-2",2017
"deco","24-2-17",4,0,0,0,8,0,0,8,29,"deco-24-2",2017
"deco","25-2-17",1,0,0,0,0,0,0,11,29,"deco-25-2",2017
